page,section,description
Ferry,Overview,Ferries are an important form of transportation in the Central Puget Sound Region.
Ferry,Urban-Area,"The Central Puget Sound has the second highest ferry ridership of any uerban area in the nation, trailing only the New York City metropolitan region."
Ferry,Demographics-Race,Commute mode by people of color.
